Name,Price,Description,ImageUrl,Brand Name,Gender
24K ROUGE ,"8,500","Fragrance Notes:
• Top: Caramel 🍬, Tonka Bean 🌰, Clary Sage 🌿
• Heart: Amberwood 🧡, sweet-spicy warmth
• Base: Vetiver 🌾, woody accords 🌲",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2F24K%20ROUGE_.jpg?alt=media&token=73f74ae8-8838-4f4e-8a1b-1409aa57127b,24k,Unisex
24K WHITE,"8,500","Fragrance Notes:
• Top: Tea Leaf 🍵, Thyme 🌿
• Heart: Rose 🌹, Saffron 🧂, Lily‑of‑the‑Valley 🌼
• Base: Olibanum (Frankincense) 🌫️, Sandalwood 🌲, Musk 🕊️, Suede 🧥",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2F24K%20WHITE.jpg?alt=media&token=9daf04af-ceda-4799-8798-fdbdb145e308,24k,Male
9AM AFNAN ,"55,000","Fragrance Notes:
• Top: Mint 🌿, Citrus 🍋
• Heart: Lavender 🌸, Vetiver 🌾
• Base: Oakmoss 🌲, Amber 🧡, Musk 🐚",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2F9AM%20AFNAN_.jpg?alt=media&token=6ffad655-4110-45af-83df-e3508dd7cd78,Afnan,Female
ABRAAJ LATTAFA ,,"Fragrance Notes:
• Top: Grapefruit 🍊, Bergamot 🍋
• Heart: Pepper 🌶️, Vetiver 🌾
• Base: Cedar 🪵, Musk, Amber 🧡",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FABRAAJ%20LATTAFA_.png?alt=media&token=47eff4eb-2657-4f89-8b00-cee2cb98bb5d,Lattafa,Unisex
ABRAAJ VIKING ,,"Fragrance Notes:
• Top: Peppermint 🌿, Mandarin 🍊
• Heart: Cedar 🪵, Vetiver 🌾
• Base: Earthy Woods 🪵, Musk 🐚",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FABRAAJ%20VIKING_.jpg?alt=media&token=22aebb15-de5c-4c18-a4a4-6df8fe7672fd,Afnan,Male
ACTIVE MAN ,"15,000","Fragrance Notes:
• Top: Citrus 🍋, Bergamot 🍋, Ozonic/Fresh Herbs 🌿
• Heart: Lavender 💜, Rose 🌹, Jasmine 🌸, Water Flowers 💧, Violet 💜
• Base: Sandalwood 🌲, Cedarwood 🌲, Teak 🪵, Musk 🕊️, Amber 🧡, Oakmoss 🍃",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FACTIVE%20MAN_.jpg?alt=media&token=350b0e82-cb27-4318-94b2-e0e0b81ec5c9,Chris Adams ,Male
ACTIVE WOMAN  PINK ,"15,000","Fragrance Notes:
• Top: Peach 🍑, Raspberry 🍇
• Heart: Violet 💜, Jasmine 🌸, Patchouli 🌿, Sandalwood 🌲
• Base: Tonka Bean 🌰, Toffee 🍬, Vanilla 🍦, Amber 🧡",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FACTIVE%20WOMAN%20%20PINK_.jpg?alt=media&token=08475e0a-8eec-4d94-974c-86bb4b5788ac,Active,Female
ACTIVE WOMAN NOIRE,"15,000","Fragrance Notes:
• Top: Cinnamon 🧂, Pineapple 🍍, Fruit Cocktail 🍓
• Heart: Jasmine 🌸, Flowers 🌼, Sandalwood 🌲
• Base: Coconut 🥥, Patchouli 🌿, Dry Amber 🧡, Musk 🕊️ ",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FACTIVE%20WOMAN%20NOIRE.jpg?alt=media&token=f223f651-9fe1-49f6-9f79-b46f76cbed72,Active,Female
ADEEB LATTFAA,"55,000","Fragrance Notes:
• Top: Tobacco 🚬, Cinnamon 🌰, Vanilla 🍦
• Heart: Thyme 🌿, Spices 🌶️, Cloves 🌰, Smoke, Agarwood (Oud) 🪵, Herbs
• Base: Patchouli 🌿, Cedar 🪵, Sandalwood 🪵, Musk, Black Amber 🧡",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FADEEB%20LATTFAA.jpg?alt=media&token=87cf5afc-e9eb-4ac7-804f-07450c261f35,Lattafa,Unisex
AFAQ LATTAFA PRIDE ,"70,000","Fragrance Notes:
• Top: Pear 🍐, Cassis/Black Currant 🍇
• Heart: Tuberose 🌸, Jasmine 🌸 (plus Turkish Rose per one source)
• Base: Cashmeran (warm wood) 🪵, Sandalwood 🪵, Amber 🧡, Musk 
",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAFAQ%20LATTAFA%20PRIDE_.png?alt=media&token=c6cbe038-fec9-4832-88e7-c54695f6f2ca,Lattafa,Unisex
AFFECTION LATTAFA PRIDE ,"55,000","Fragrance Notes:
• Top: Red Fruits 🍓, Apple 🍏
• Heart: Jasmine 🌸, Rose 🌹
• Base: Caramel 🍬, Vanilla 🍦, Musk, Amber 🧡",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAFFECTION%20LATTAFA%20PRIDE_.jpg?alt=media&token=5b0bacf3-37ad-40df-8bf4-33de729d4bcc,Lattafa,Unisex
AJAYEB DUBAI,"31,000","Fragrance Notes:
• Top: Saffron 🧂, Pineapple 🍍
• Heart: Coffee ☕, Violet Leaves 💜
• Base: Butterscotch 🍭, Sandalwood 🌲, Vanilla 🍦",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAJAYEB%20DUBAI.jpg?alt=media&token=fe916043-6c5d-4e95-b0f3-7efd48f12ea5,Lattafa,Unisex
AJAYEB DUBAI  POTRAIT ,"31,000","Fragrance Notes:
• Top: Orange 🍊, Lemon 🍋
• Heart: Mango 🥭, Osmanthus 🌸, Jasmine 🌼
• Base: Sandalwood 🪵, Amber 🧡, Musk, Oud 🪵

",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAJAYEB%20DUBAI%20%20POTRAIT_.jpg?alt=media&token=70955daf-5c8f-4fa3-8e8a-e12b4a795e55,Lattafa,Unisex
AJWAA LATTAFA PRIDE,"52,000","Fragrance Notes:
• Top: Bergamot 🍋, Elemi (resin) 🌿, Dates 🍇, Lemon 🍋
• Heart: Elemi 🌿, Licorice 🌱, Myrrh 🕯️
• Base: Benzoin 🌳, Incense 🕯️, Labdanum 🌿, Musk, Vanilla 🍦",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAJWAA%20LATTAFA%20PRIDE.png?alt=media&token=a9fd30f2-d765-499d-978b-eedbef804e6a,Lattafa,Unisex
AL AREEQ LATTAFA GOLD,,"Fragrance Notes:
• Top: Saffron 🧂, Black Tea 🍵
• Heart: Suede 🧥, Leather 🧥, Incense 🌫️
• Base: Vanilla 🍦, Amberwood 🧡, Musk 🕊️ 
",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAL%20AREEQ%20LATTAFA%20GOLD.png?alt=media&token=df037cd4-5d48-4bcd-b361-a8b7f377826c,Al Areeq,Unisex
AL AREEQ LATTAFA SILVER,,"Fragrance Notes:
• Top: Apple 🍏, Lavender 💜, Cardamom 🌿
• Heart: Tobacco 🚬, Cypress 🌲, Oud 🪵, Jasmine 🌼
• Base: Leather 🧥, Sandalwood 🌲, Vanilla 🍦, Musk 🕊️ ",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAL%20AREEQ%20LATTAFA%20SILVER.png?alt=media&token=27040195-c10b-42e5-81ff-5290cb1559c6,Al Areeq,Unisex
AL DANA NICHE EMERATI ,"65,000","Fragrance Notes:
• Top: Bergamot 🍋, Lemon 🍋, Pineapple 🍍, Pepper 🌶️, Lime 🍈
• Heart: Jasmine 🌸, Lily‑of‑the‑Valley 🌼, Olibanum/Frankincense 🕯️
• Base: Patchouli 🌿, Amber 🧡, Woody & Smoky notes 🪵, Musk",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAL%20DANA%20NICHE%20EMERATI_.png?alt=media&token=bfe6f4ea-653c-4076-8598-4f54e1531684,Lattafa,Unisex
AL DIRGHAM LIMITED EDITION,"32,000","Fragrance Notes:
• Top: Mandarin 🍊, Lemongrass 🌿, Geranium 🌹
• Heart: Jasmine 🌸, Lily of the Valley 🌿, Tuberose 🌼, Cinnamon 🍂, Cloves 🌶️
• Base: Vanilla 🍦, Musk 🕊️, Tonka Bean 🌰",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAL%20DIRGHAM%20LIMITED%20EDITION.jpg?alt=media&token=f3484ab0-bbf5-4b94-9f22-6ce366e9468b,Al Dirgham,Male
AL DIRGHAM SPECIAL EDITION,"32,000","Fragrance Notes:
• Top: Cinnamon 🧂, Nutmeg 🌰
• Heart: Cardamom 🌿, Fruity Notes 🍎
• Base: Vanilla 🍦, Spices 🌶️, Pistachio 🌰",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAL%20DIRGHAM%20SPECIAL%20EDITION.webp?alt=media&token=b38d6316-1314-4d26-a290-cf39922dece3,Al Dirgham,Male
AL FARIS ,"20,000","Fragrance Notes:
• Top: Driftwood 🌲, Ivy 🌿, Geranium 🌹, Plum & Coconut 🍑
• Heart: Lily of the Valley 🌼, Orange Blossom 🌼, Jasmine 🌸, Violet 💜, Aquatic Notes 🌊
• Base: Cedarwood 🌲, Amber Wood 🧡, Cashmere Wood 🌲, Vanilla 🍦, White Musk",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAL%20FARIS_.jpg?alt=media&token=b83e042b-8c3a-4ef9-a841-09b3deec5226,Arabiyat Prestige,Male
AL JAWHARA,,"Fragrance Notes:
• Top: Mimosa 🌼, Lavender 🌸
• Heart: Oud 🪵
• Base: Amber 🧡, Sandalwood 🪵, Cedarwood 🪵",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAL%20JAWHARA.png?alt=media&token=e57908aa-b9ef-46a1-b5ea-49c727d9ed53,Lattafa,Unisex
AL NARJIS ,,"Fragrance Notes:
• Top: Bergamot 🍋, Pink Pepper 🌺
• Heart: Rose 🌹, Jasmine 🌼, Neroli 🍊
• Base: Musk 🐚, Amber 🧡, Sandalwood 🪵",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAL%20NARJIS_.png?alt=media&token=b72350bb-81e8-42f6-9081-0909384f276e,Lattafa,Unisex
AL NASHAMA ,"35,000","Fragrance Notes:
• Top: Bergamot 🍋, Pink Pepper 🌶️, Sage 🌿
• Heart: Plum 🍑, Black Pepper 🌶️, Jasmine 🌸
• Base: Saffiano Leather 🧥, Amber 🧡, Patchouli 🌿, Moss 🍃",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAL%20NASHAMA_.jpg?alt=media&token=c40ca170-636a-4e68-8487-7f1e944b2a74,Lattafa,Unisex
AL NASHAMA LATTAFA ,"35,000","Fragrance Notes:
• Top: Bergamot 🍋, Lemon 🍊
• Heart: Spices 🌶️, Lavender 💜
• Base: Cedarwood 🪵, Musk 🐚, Amber 🧡

",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAL%20NASHAMA%20LATTAFA_.jpg?alt=media&token=25675777-9789-4572-ba00-f501bffdfd6f,Lattafa,Unisex
AL NOBLE AMEER LATTAFA ,"32,000","Fragrance Notes:
• Top: Apple 🍏, Pink Pepper 🌶️, Rosemary 🌿
• Heart: Cloves 🌶️, Floral Notes 🌸
• Base: Oud 🪵, Patchouli 🌿, Cypress 🌲, Labdanum 🌿, Vetiver 🌾 ",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAL%20NOBLE%20AMEER%20LATTAFA_.jpg?alt=media&token=3008a316-9b7e-47c5-afbe-5a66973d5e9e,Lattafa,unisex
AL NOBLE SAFEER LATTAFA ,"32,000","Fragrance Notes:
• Top: Bergamot 🍋, Artemisia 🌿
• Heart: Herbal & Green Spicy Notes 🌿🌶️
• Base: Guaiac Wood 🌳, Juniper 🌲, Cumin 🌿, Frankincense 🌫️, Patchouli 🌿, Labdanum 🌿, Nutty Notes 🌰",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FA_L%20NOBLE%20SAFEER%20LATTAFA_.jpg?alt=media&token=b7558ade-a948-4a74-9680-17cb8c596962,Lattafa,Unisex
AL QIAM GOLD LATTAFA ,,"Fragrance Notes:
• Top: Raspberry 🍇, Saffron 🧂
• Heart: Leather 🧥, Patchouli 🌿
• Base: Oud 🪵, Guaiac Wood 🌳, Benzoin 🌳, Vetiver 🌾, Amber 🧡 ",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAL%20QIAM%20GOLD%20LATTAFA_.png?alt=media&token=16b5312d-f426-4b5e-8f11-45b75faf77ec,Lattafa,Unisex
AL QIAM SILVER LATTAFA ,,"Fragrance Notes:
• Top: Saffron 🧂, Nutmeg 🌰
• Heart: Agarwood (Oud) 🪵, Lavender 💜
• Base: Patchouli 🌿, Musk 🐚, Amber 🧡

",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAL%20QIAM%20SILVER%20LATTAFA_.png?alt=media&token=0b150b04-b750-40dc-8975-5b202b5e4e0d,Lattafa,Unisex
AMBER OUD EXCLUSIF EMERALD.,"120,000","Fragrance Notes:
• Top: Bergamot 🍋, Green Notes 🌿
• Heart: Melon 🍈, Pineapple 🍍, Amber 🧡
• Base: Vanilla 🍦, Musk 🐚, Woody Notes 🪵",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAMBER%20OUD%20EXCLUSIF%20EMERALD_.jpg?alt=media&token=2c0e21f4-f586-4ec9-8016-4ac860377e4d,Al Haramain,Unisex
AMEER AL ARAB ,"26,000","Fragrance Notes:
• Top: Jasmine 🌼, Honeysuckle 🌸
• Heart: Lavender 💜, Saffron 🧂, Pepper 🌶️
• Base: Mint 🌱, Cardamom 🧂, Basil 🌿 ",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAMEER%20AL%20ARAB_.jpg?alt=media&token=d80cf6e6-3904-4543-9094-e44a862e7975,Al arab asdaaf,Male
AMEER AL ARAB ASDAAF ,"26,000","Fragrance Notes:
• Top: Jasmine Sambac 🌸, Honeysuckle 🌼
• Heart: Lavender 💜, Saffron 🧂, Chili Pepper 🌶️
• Base: Mint 🌱, Cardamom 🌿, Basil 🌿",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAMEER%20AL%20ARAB%20ASDAAF_.jpg?alt=media&token=5275fe91-a219-42ca-af8a-3ba045a7d076,Asdaaf,Unisex
AMEER AL ARAB PRIVE ROSE ,"26,000","Fragrance Notes:
• Top: Strawberry 🍓, Grapes 🍇, Orange 🍊
• Heart: Rose 🌹, Gardenia 🌼, Jasmine 🌸, Lily 🌸, Ylang‑Ylang 🌺, White Musk 🐚
• Base: Tonka Bean 🌰, Amber 🧡, Sandalwood 🪵",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAMEER%20AL%20ARAB%20PRIVE%20ROSE_(1).jpg?alt=media&token=c40665f2-e625-4f8e-be17-a1a2df9961c9,Asdaaf,Female
AMEER AL OUDH INTENSE OUD LATTAFA ,"30,000","Fragrance Notes:
• Top: Woodsy Notes 🪵
• Heart: Agarwood (Oud) 🪵, Vanilla 🍦, Sugar 🍬
• Base: Sandalwood 🪵, Herbal Notes 🌿

",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAMEER%20AL%20OUDH%20INTENSE%20OUD%20LATTAFA_.jpg?alt=media&token=20734c6e-05b1-4029-920e-816708fa9e84,Lattafa,Unisex
AMEER AL OUDH LATTAFA,"30,000","Fragrance Notes:
• Top: Saffron 🧂, Nutmeg 🌰
• Heart: Geranium 🌹, Woody Notes 🌲, Labdanum 🌿
• Base: Oud 🪵, Vanilla 🍦, Leather 🧥",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAMEER%20AL%20OUDH%20LATTAFA.jpg?alt=media&token=31769611-d59e-4cab-95b3-3e870b73acb5,Lattafa,Unisex
AMEERA AL ARAB RED,"26,000","Fragrance Notes:
• Top: Basil 🌿, Cardamom 🧂, Mint 🌱
• Heart: Honeysuckle 🌸, Lavender 💜
• Base: Saffron 🧂, Pepper 🌶️, Jasmine 🌼",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAMEERA%20AL%20ARAB%20RED.jpg?alt=media&token=66976ee6-6d62-487b-9edc-c5356a070d1e,Al arab asdaaf,Female
AMETHYST BADEE AL OUD ,"42,000","Fragrance Notes:
• Top: Bergamot 🍋, Pink Pepper 🌶️
• Heart: Turkish Rose 🌹, Bulgarian Rose 🌸, Jasmine 🌼
• Base: Vanilla 🍦, Amber 🧡, Oud 🪵

",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAMETHYST%20BADEE%20AL%20OUD_.jpg?alt=media&token=4e456d72-56a2-4ed8-80bb-a60a0406b001,Lattafa,Unisex
AMOROUS BLUE CASTLE BEJAR,"23,500","Fragrance Notes:
• Top: Citrus 🍋, Marine Notes 🌊
• Heart: Lavender 💜, Violet Leaf 🌿
• Base: Cedarwood 🪵, Ambergris 🐚, Musk 🐚

",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAMOROUS%20BLUE%20CASTLE%20BEJAR.jpg?alt=media&token=675348f0-12cc-468a-8e9b-076aca0484a4,Castle Bejar,Female
AMOROUS OUD CASTLE BEJAR ,"23,500","Fragrance Notes:
• Top: Orange 🍊, Raspberry 🍇, Caramel 🍬
• Heart: Violet 💜, Patchouli 🌿, Rose 🌹, Jasmine 🌸, Olibanum 🌫️ 
• Base: Amber 🧡, Musk 🕊️, Vanilla 🍦",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAMOROUS%20OUD%20CASTLE%20BEJAR_.jpg?alt=media&token=569fad32-9392-4a64-94b6-8e97122e2f68,Castle Bejar,Unisex
AMOUAGE ,"373,000","Fragrance Notes:
• Top: Bergamot 🍋, Oregano 🌿, Pimento Berry 🌶️
• Heart: Amber 🧡, Opoponax 🌫️, Incense 🔥, Labdanum 🌿
• Base: Leather 🧥, Agarwood (Oud) 🪵, Patchouli 🌿, Sandalwood 🪵

",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAMOUAGE_.jpg?alt=media&token=920b2899-6656-4db2-a077-c49cefc9474c,Amouage,Unisex
AMOUAGE INTERLUDE ,"373,000","Fragrance Notes:
• Top: Bergamot 🍋, Oregano 🌿, Pimento Berry 🌶️
• Heart: Amber 🌫️, Cistus 🌿, Frankincense 🌫️, Vanilla 🍦, Opoponax 🌿
• Base: Oud 🪵, Leather 🧥, Patchouli 🌿, Sandalwood 🌲",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAMOUAGE%20INTERLUDE_.jpg?alt=media&token=7454bdb7-6a76-4eb7-90ae-7c86da25d14d,Amouage,Male
AMOUAGE INTERLUDE 53,"455,000","Fragrance Notes:
• Top: Bergamot 🍋, Oregano 🌿, Pimento Berry 🌶️
• Heart: Incense 🌫️, Opoponax 🌿, Amber 🧡, Cistus 🌿
• Base: Leather 🧥, Agarwood Smoke 🪵, Patchouli 🌿, Sandalwood 🌲",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAMOUAGE%20INTERLUDE%2053.jpg?alt=media&token=f0dfdf8d-d2ba-43fd-a79b-c003ca0b465f,amouage,Male
AMOUAGE JOURNEY ,"340,000","Fragrance Notes:
• Top: Osmanthus 🌼, Apricot 🍑, Nutmeg 🌰, Jasmine 🌸, Cardamom 🌰
• Heart: Jasmine Sambac 🌸, Mimosa 🌼, Honey 🍯, Cedarwood 🌲
• Base: Pipe Tobacco 🪵, Saffron 🧂, Vanilla 🍦, Cypriol, Musk 🕊️",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAMOUAGE%20JOURNEY_.jpg?alt=media&token=c16997f0-4817-4bb6-9116-d4b994614e89,Amouage,Unisex
AMOUAGE JUBILATION 40,,"Fragrance Notes:
• Top: Blackberry 🍇, Black Currant 🍇, Orange 🍊, Rosemary 🌿, Labdanum 🌿, Davana 🌿
• Heart: Frankincense 🌫️, Cinnamon 🧂, Cloves 🌿, Bay Leaf 🍃, Broom 🌿, Celery Seeds 🌿, Rose 🌹
• Base: Patchouli 🌿, Opoponax 🌿, Myrrh 🌿, Cistus 🌿, Guaiac Wood 🌳, Cedarwood 🌲, Ambergris 🧡, Oud 🪵, Moss 🍃, Musk 🕊️",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAMOUAGE%20JUBILATION%2040.jpg?alt=media&token=8a0dd910-d65f-4bee-9599-a40840bb5f02,Amouage,Male
AMOUAGE LYRIC,"340,000","Fragrance Notes:
• Top: Lime 🍋, Bergamot 🍋
• Heart: Rose 🌹, Angelica 🌿, Orange Blossom 🌼, Green Galbanum 🌿, Spicy Ginger 🌶️, Nutmeg 🌰, Saffron 🧂
• Base: Pine 🌲, Sandalwood 🌲, Vanilla 🍦, Musk 🕊️, Frankincense 🌫️",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAMOUAGE%20LYRIC.jpg?alt=media&token=3ec0ca1c-f14f-4107-9047-4a2a0c3eebdb,Amouage,Male
AMOUAGE OPUS XV KING BLUE,"345,000","Fragrance Notes:
• Top: Mandarin 🍊, Blackcurrant 🍇, Pink Pepper 🌶️
• Heart: Frankincense 🌫️, Amber 🧡
• Base: Sandalwood 🌲, Oakwood 🌳, Patchouli 🌿, Agarwood Oud 🪵, Leather 🧥",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2FAMOUAGE%20OPUS%20XV%20KING%20BLUE.jpg?alt=media&token=1f1ba48e-aca9-4717-8c9c-048989631a22,Amouage,Unisex
